paleta;nome_cor;codigo_hexadecimal;codigo_rgb;codigo_cmyk
"PANTONE";"7562 C";"#BD9B60";"189,155,96";"0,18,49,26"
"PANTONE";"7563 C";"#D69A2D";"214,154,45";"0,28,79,16"
"PANTONE";"7564 C";"#DB8A06";"219,138,6";"0,37,97,14"
"PANTONE";"7565 C";"#CD7925";"205,121,37";"0,41,82,20"
"PANTONE";"7566 C";"#AD6433";"173,100,51";"0,42,71,32"
"PANTONE";"7567 C";"#89532F";"137,83,47";"0,39,66,46"
"PANTONE";"7568 C";"#785135";"120,81,53";"0,33,56,53"
"PANTONE";"7569 C";"#D78825";"215,136,37";"0,37,83,16"
"PANTONE";"7570 C";"#D3832B";"211,131,43";"0,38,80,17"
"PANTONE";"7571 C";"#C67D30";"198,125,48";"0,37,76,22"
"PANTONE";"7572 C";"#B67233";"182,114,51";"0,37,72,29"
"PANTONE";"7573 C";"#A7662B";"167,102,43";"0,39,74,35"
"PANTONE";"7574 C";"#9E6A37";"158,106,55";"0,33,65,38"
"PANTONE";"7575 C";"#835D32";"131,93,50";"0,29,62,49"
"PANTONE";"148 C";"#FECB8B";"254,203,139";"0,20,45,0"
"PANTONE";"149 C";"#FFC27B";"255,194,123";"0,24,52,0"
"PANTONE";"150 C";"#FFB25B";"255,178,91";"0,30,64,0"
"PANTONE";"151 C";"#FF8200";"255,130,0";"0,49,100,0"
"PANTONE";"152 C";"#E57200";"229,114,0";"0,50,100,10"
"PANTONE";"153 C";"#BE6A14";"190,106,20";"0,44,89,25"
"PANTONE";"154 C";"#9B5A1A";"155,90,26";"0,42,83,39"
"PANTONE";"155 C";"#EFD19F";"239,209,159";"0,13,33,6"
"PANTONE";"156 C";"#EFBE7D";"239,190,125";"0,21,48,6"
"PANTONE";"157 C";"#ECA154";"236,161,84";"0,32,64,7"
"PANTONE";"158 C";"#E87722";"232,119,34";"0,49,85,9"
"PANTONE";"159 C";"#CB6015";"203,96,21";"0,53,90,20"
"PANTONE";"160 C";"#A1561C";"161,86,28";"0,47,83,37"
"PANTONE";"161 C";"#603D20";"96,61,32";"0,36,67,62"
"PANTONE";"1485 C";"#FFAE62";"255,174,98";"0,32,62,0"
"PANTONE";"1495 C";"#FF8F1C";"255,143,28";"0,44,89,0"
"PANTONE";"1505 C";"#FF6900";"255,105,0";"0,59,100,0"
"PANTONE";"1525 C";"#B94700";"185,71,0";"0,62,100,27"
"PANTONE";"1535 C";"#94450B";"148,69,11";"0,53,93,42"
"PANTONE";"1545 C";"#653818";"101,56,24";"0,45,76,60"
"PANTONE";"1555 C";"#FFB990";"255,185,144";"0,27,44,0"
"PANTONE";"1565 C";"#FFA06A";"255,160,106";"0,37,58,0"
"PANTONE";"1575 C";"#FF7F32";"255,127,50";"0,50,80,0"
"PANTONE";"1585 C";"#FF6A14";"255,106,20";"0,58,92,0"
"PANTONE";"1595 C";"#D86018";"216,96,24";"0,56,89,15"
"PANTONE";"1605 C";"#A65523";"166,85,35";"0,49,79,35"
"PANTONE";"1615 C";"#8B4720";"139,71,32";"0,49,77,45"
"PANTONE";"712 C";"#FCC89B";"252,200,155";"0,21,38,1"
"PANTONE";"713 C";"#FDBE87";"253,190,135";"0,25,47,1"
"PANTONE";"714 C";"#FDAA63";"253,170,99";"0,33,61,1"
"PANTONE";"715 C";"#F68D2E";"246,141,46";"0,43,81,4"
"PANTONE";"716 C";"#EA7600";"234,118,0";"0,50,100,8"
"PANTONE";"717 C";"#D45D00";"212,93,0";"0,56,100,17"
"PANTONE";"718 C";"#BE4D00";"190,77,0";"0,59,100,25"
"PANTONE";"162 C";"#FFBE9F";"255,190,159";"0,25,38,0"
"PANTONE";"163 C";"#FF9D6E";"255,157,110";"0,38,57,0"
"PANTONE";"164 C";"#FF7F41";"255,127,65";"0,50,75,0"
"PANTONE";"165 C";"#FF6720";"255,103,32";"0,60,87,0"
"PANTONE";"166 C";"#E35205";"227,82,5";"0,64,98,11"
"PANTONE";"167 C";"#BE531C";"190,83,28";"0,56,85,25"
"PANTONE";"168 C";"#73391D";"115,57,29";"0,50,75,55"
"PANTONE";"7576 C";"#DB864E";"219,134,78";"0,39,64,14"
"PANTONE";"7577 C";"#E07E3C";"224,126,60";"0,44,73,12"
"PANTONE";"7578 C";"#DB6B30";"219,107,48";"0,51,78,14"
"PANTONE";"7579 C";"#DC582A";"220,88,42";"0,60,81,14"
"PANTONE";"7580 C";"#C05131";"192,81,49";"0,58,74,25"
"PANTONE";"7581 C";"#864A33";"134,74,51";"0,45,62,47"
"PANTONE";"7582 C";"#674736";"103,71,54";"0,31,48,60"
"PANTONE";"1625 C";"#FFA38B";"255,163,139";"0,36,45,0"
"PANTONE";"1635 C";"#FF8D6D";"255,141,109";"0,45,57,0"
"PANTONE";"1645 C";"#FF6A39";"255,106,57";"0,58,78,0"
"PANTONE";"1655 C";"#FC4C02";"252,76,2";"0,70,99,1"
"PANTONE";"1665 C";"#DC4405";"220,68,5";"0,69,98,14"
"PANTONE";"1675 C";"#A9431E";"169,67,30";"0,60,82,34"
"PANTONE";"1685 C";"#833921";"131,57,33";"0,56,75,49"
"PANTONE";"169 C";"#FFB3AB";"255,179,171";"0,30,33,0"
"PANTONE";"170 C";"#FF8674";"255,134,116";"0,47,55,0"
"PANTONE";"171 C";"#FF5C39";"255,92,57";"0,64,78,0"
"PANTONE";"172 C";"#FA4616";"250,70,22";"0,72,91,2"
"PANTONE";"173 C";"#CF4520";"207,69,32";"0,67,85,19"
"PANTONE";"174 C";"#963821";"150,56,33";"0,63,78,41"
"PANTONE";"175 C";"#6B3529";"107,53,41";"0,50,62,58"
"PANTONE";"7583 C";"#C4622D";"196,98,45";"0,50,77,23"
"PANTONE";"7584 C";"#BA5826";"186,88,38";"0,53,80,27"
"PANTONE";"7585 C";"#B05C37";"176,92,55";"0,48,69,31"
"PANTONE";"7586 C";"#9E5330";"158,83,48";"0,47,70,38"
"PANTONE";"7587 C";"#924C2E";"146,76,46";"0,48,68,43"
"PANTONE";"7588 C";"#7B4D35";"123,77,53";"0,37,57,52"
"PANTONE";"7589 C";"#5C4738";"92,71,56";"0,23,39,64"
"PANTONE";"7590 C";"#D4B59E";"212,181,158";"0,15,25,17"
"PANTONE";"7591 C";"#C07D59";"192,125,89";"0,35,54,25"
"PANTONE";"7592 C";"#B15533";"177,85,51";"0,52,71,31"
"PANTONE";"7593 C";"#9D432C";"157,67,44";"0,57,72,38"
"PANTONE";"7594 C";"#7C3A2D";"124,58,45";"0,53,64,51"
"PANTONE";"7595 C";"#6B3D2E";"107,61,46";"0,43,57,58"
"PANTONE";"7596 C";"#5C3D31";"92,61,49";"0,34,47,64"
"PANTONE";"7597 C";"#D14124";"209,65,36";"0,69,83,18"
"PANTONE";"7598 C";"#BD472A";"189,71,42";"0,62,78,26"
"PANTONE";"7599 C";"#B33D26";"179,61,38";"0,66,79,30"
"PANTONE";"7600 C";"#8D3F2B";"141,63,43";"0,55,70,45"
"PANTONE";"7601 C";"#83412C";"131,65,44";"0,50,66,49"
"PANTONE";"7602 C";"#7B4931";"123,73,49";"0,41,60,52"
"PANTONE";"7603 C";"#674230";"103,66,48";"0,36,53,60"
"PANTONE";"7604 C";"#E4D5D3";"228,213,211";"0,7,7,11"
"PANTONE";"7605 C";"#E1BBB4";"225,187,180";"0,17,20,12"
"PANTONE";"7606 C";"#D6938A";"214,147,138";"0,31,36,16"
"PANTONE";"7607 C";"#C26E60";"194,110,96";"0,43,51,24"
"PANTONE";"7608 C";"#A4493D";"164,73,61";"0,55,63,36"
"PANTONE";"7609 C";"#823B34";"130,59,52";"0,55,60,49"
"PANTONE";"7610 C";"#683431";"104,52,49";"0,50,53,59"
"PANTONE";"7611 C";"#DDBCB0";"221,188,176";"0,15,20,13"
"PANTONE";"7612 C";"#CA9A8E";"202,154,142";"0,24,30,21"
"PANTONE";"7613 C";"#BC8A7E";"188,138,126";"0,27,33,26"
"PANTONE";"7614 C";"#A47F74";"164,127,116";"0,23,29,36"
"PANTONE";"7615 C";"#866761";"134,103,97";"0,23,28,47"
"PANTONE";"7616 C";"#6B4C4C";"107,76,76";"0,29,29,58"
"PANTONE";"7617 C";"#583D3E";"88,61,62";"0,31,30,65"
"PANTONE";"7520 C";"#EABEB0";"234,190,176";"0,19,25,8"
"PANTONE";"7521 C";"#C09C83";"192,156,131";"0,19,32,25"
"PANTONE";"7522 C";"#B46A55";"180,106,85";"0,41,53,29"
"PANTONE";"7523 C";"#AB5C57";"171,92,87";"0,46,49,33"
"PANTONE";"7524 C";"#A45248";"164,82,72";"0,50,56,36"
"PANTONE";"7525 C";"#9A6A4F";"154,106,79";"0,31,49,40"
"PANTONE";"7526 C";"#8A391B";"138,57,27";"0,59,80,46"
"PANTONE";"489 C";"#ECC3B2";"236,195,178";"0,17,25,7"
"PANTONE";"488 C";"#ECBAA8";"236,186,168";"0,21,29,7"
"PANTONE";"487 C";"#EAA794";"234,167,148";"0,29,37,8"
"PANTONE";"486 C";"#E8927C";"232,146,124";"0,37,47,9"
"PANTONE";"485 C";"#DA291C";"218,41,28";"0,81,87,15"
"PANTONE";"484 C";"#9A3324";"154,51,36";"0,67,77,40"
"PANTONE";"483 C";"#653024";"101,48,36";"0,52,64,60"
"PANTONE";"176 C";"#FFB1BB";"255,177,187";"0,31,27,0"
"PANTONE";"177 C";"#FF808B";"255,128,139";"0,50,45,0"
"PANTONE";"178 C";"#FF585D";"255,88,93";"0,65,64,0"
"PANTONE";"179 C";"#E03C31";"224,60,49";"0,73,78,12"
"PANTONE";"180 C";"#BE3A34";"190,58,52";"0,69,73,25"
"PANTONE";"181 C";"#81312F";"129,49,47";"0,62,64,49"
"PANTONE";"1765 C";"#FFA3B5";"255,163,181";"0,36,29,0"
"PANTONE";"1775 C";"#FF8DA1";"255,141,161";"0,45,37,0"
"PANTONE";"1785 C";"#F8485E";"248,72,94";"0,71,62,3"
"PANTONE";"1788 C";"#EE2737";"238,39,55";"0,84,77,7"
"PANTONE";"1795 C";"#D22730";"210,39,48";"0,81,77,18"
"PANTONE";"1805 C";"#AF272F";"175,39,47";"0,78,73,31"
"PANTONE";"1815 C";"#7C2629";"124,38,41";"0,69,67,51"
"PANTONE";"1767 C";"#FCAFC0";"252,175,192";"0,31,24,1"
"PANTONE";"1777 C";"#FB637E";"251,99,126";"0,61,50,2"
"PANTONE";"1787 C";"#F4364C";"244,54,76";"0,78,69,4"
"PANTONE";"1797 C";"#CB333B";"203,51,59";"0,75,71,20"
"PANTONE";"1807 C";"#A4343A";"164,52,58";"0,68,65,36"
"PANTONE";"1817 C";"#643335";"100,51,53";"0,49,47,61"
"PANTONE";"7618 C";"#C66E4E";"198,110,78";"0,44,61,22"
"PANTONE";"7619 C";"#C04C36";"192,76,54";"0,60,72,25"
"PANTONE";"7620 C";"#B7312C";"183,49,44";"0,73,76,28"
"PANTONE";"7621 C";"#AB2328";"171,35,40";"0,80,77,33"
"PANTONE";"7622 C";"#93282C";"147,40,44";"0,73,70,42"
"PANTONE";"7623 C";"#8A2B2B";"138,43,43";"0,69,69,46"
"PANTONE";"7624 C";"#802F2D";"128,47,45";"0,63,65,50"
"PANTONE";"7625 C";"#E1523E";"225,82,62";"0,64,72,12"
"PANTONE";"7626 C";"#C63527";"198,53,39";"0,73,80,22"
"PANTONE";"7627 C";"#A72B2A";"167,43,42";"0,74,75,35"
"PANTONE";"7628 C";"#9E2A2B";"158,42,43";"0,73,73,38"
"PANTONE";"7629 C";"#6D3332";"109,51,50";"0,53,54,57"
"PANTONE";"7630 C";"#633231";"99,50,49";"0,49,51,61"
"PANTONE";"7631 C";"#572D2D";"87,45,45";"0,48,48,66"
"PANTONE";"7415 C";"#E6BAA8";"230,186,168";"0,19,27,10"
"PANTONE";"7416 C";"#E56A54";"229,106,84";"0,54,63,10"
"PANTONE";"7417 C";"#E04F39";"224,79,57";"0,65,75,12"
"PANTONE";"7418 C";"#CD545B";"205,84,91";"0,59,56,20"
"PANTONE";"7419 C";"#B04A5A";"176,74,90";"0,58,49,31"
"PANTONE";"7420 C";"#9B2242";"155,34,66";"0,78,57,39"
"PANTONE";"7421 C";"#651C32";"101,28,50";"0,72,50,60"
"PANTONE";"182 C";"#FABBCB";"250,187,203";"0,25,19,2"
"PANTONE";"183 C";"#FC9BB3";"252,155,179";"0,38,29,1"
"PANTONE";"184 C";"#F65275";"246,82,117";"0,67,52,4"
"PANTONE";"185 C";"#E4002B";"228,0,43";"0,100,81,11"
"PANTONE";"186 C";"#C8102E";"200,16,46";"0,92,77,22"
"PANTONE";"187 C";"#A6192E";"166,25,46";"0,85,72,35"
"PANTONE";"188 C";"#76232F";"118,35,47";"0,70,60,54"
"PANTONE";"196 C";"#ECC7CD";"236,199,205";"0,16,13,7"
"PANTONE";"197 C";"#E89CAE";"232,156,174";"0,33,25,9"
"PANTONE";"198 C";"#DF4661";"223,70,97";"0,69,57,13"
"PANTONE";"199 C";"#D50032";"213,0,50";"0,100,77,16"
"PANTONE";"200 C";"#BA0C2F";"186,12,47";"0,94,75,27"
"PANTONE";"201 C";"#9D2235";"157,34,53";"0,78,66,38"
"PANTONE";"202 C";"#862633";"134,38,51";"0,72,62,47"
"PANTONE";"189 C";"#F8A3BC";"248,163,188";"0,34,24,3"
"PANTONE";"190 C";"#F67599";"246,117,153";"0,52,38,4"
"PANTONE";"191 C";"#EF426F";"239,66,111";"0,72,54,6"
"PANTONE";"192 C";"#E40046";"228,0,70";"0,100,69,11"
"PANTONE";"193 C";"#BF0D3E";"191,13,62";"0,93,68,25"
"PANTONE";"194 C";"#9B2743";"155,39,67";"0,75,57,39"
"PANTONE";"195 C";"#782F40";"120,47,64";"0,61,47,53"
"PANTONE";"1895 C";"#F5B6CD";"245,182,205";"0,26,16,4"
"PANTONE";"1905 C";"#F59BBB";"245,155,187";"0,37,24,4"
"PANTONE";"1915 C";"#EF4B81";"239,75,129";"0,69,46,6"
"PANTONE";"1925 C";"#E0004D";"224,0,77";"0,100,66,12"
"PANTONE";"1935 C";"#C5003E";"197,0,62";"0,100,69,23"
"PANTONE";"1945 C";"#A60A3D";"166,10,61";"0,94,63,35"
"PANTONE";"1955 C";"#8A1538";"138,21,56";"0,85,59,46"
"PANTONE";"705 C";"#F5DADF";"245,218,223";"0,11,9,4"
"PANTONE";"706 C";"#F7CED7";"247,206,215";"0,17,13,3"
"PANTONE";"707 C";"#F8B5C4";"248,181,196";"0,27,21,3"
"PANTONE";"708 C";"#F891A5";"248,145,165";"0,42,33,3"
"PANTONE";"709 C";"#EF6079";"239,96,121";"0,60,49,6"
"PANTONE";"710 C";"#E03E52";"224,62,82";"0,72,63,12"
"PANTONE";"711 C";"#CB2C30";"203,44,48";"0,78,76,20"
"PANTONE";"698 C";"#F2D4D7";"242,212,215";"0,12,11,5"
"PANTONE";"699 C";"#F4C3CC";"244,195,204";"0,20,16,4"
"PANTONE";"700 C";"#F2ACB9";"242,172,185";"0,29,24,5"
"PANTONE";"701 C";"#E68699";"230,134,153";"0,42,33,10"
"PANTONE";"702 C";"#D25B73";"210,91,115";"0,57,45,18"
"PANTONE";"703 C";"#B83A4B";"184,58,75";"0,68,59,28"
"PANTONE";"704 C";"#9E2B2F";"158,43,47";"0,73,70,38"
"PANTONE";"203 C";"#ECB3CB";"236,179,203";"0,24,14,7"
"PANTONE";"204 C";"#E782A9";"231,130,169";"0,44,27,9"
"PANTONE";"205 C";"#E0457B";"224,69,123";"0,69,45,12"
"PANTONE";"206 C";"#CE0037";"206,0,55";"0,100,73,19"
"PANTONE";"207 C";"#A50034";"165,0,52";"0,100,68,35"
"PANTONE";"208 C";"#862041";"134,32,65";"0,76,51,47"
"PANTONE";"209 C";"#6F263D";"111,38,61";"0,66,45,56"
"PANTONE";"210 C";"#F99FC9";"249,159,201";"0,36,19,2"
"PANTONE";"211 C";"#F57EB6";"245,126,182";"0,49,26,4"
"PANTONE";"212 C";"#F04E98";"240,78,152";"0,68,37,6"
"PANTONE";"213 C";"#E31C79";"227,28,121";"0,88,47,11"
"PANTONE";"214 C";"#CE0F69";"206,15,105";"0,93,49,19"
"PANTONE";"215 C";"#AC145A";"172,20,90";"0,88,48,33"
"PANTONE";"216 C";"#7D2248";"125,34,72";"0,73,42,51"
"PANTONE";"7422 C";"#F4CDD4";"244,205,212";"0,16,13,4"
"PANTONE";"7423 C";"#E06287";"224,98,135";"0,56,40,12"
"PANTONE";"7424 C";"#E24585";"226,69,133";"0,69,41,11"
"PANTONE";"7425 C";"#B52555";"181,37,85";"0,80,53,29"
"PANTONE";"7426 C";"#A4123F";"164,18,63";"0,89,62,36"
"PANTONE";"7427 C";"#971B2F";"151,27,47";"0,82,69,41"
"PANTONE";"7428 C";"#6A2C3E";"106,44,62";"0,58,42,58"
"PANTONE";"7632 C";"#D6C9CA";"214,201,202";"0,6,6,16"
"PANTONE";"7633 C";"#C4A4A7";"196,164,167";"0,16,15,23"
"PANTONE";"7634 C";"#C16784";"193,103,132";"0,47,32,24"
"PANTONE";"7635 C";"#C63663";"198,54,99";"0,73,50,22"
"PANTONE";"7636 C";"#BC204B";"188,32,75";"0,83,60,26"
"PANTONE";"7637 C";"#912F46";"145,47,70";"0,68,52,43"
"PANTONE";"7638 C";"#7E2D40";"126,45,64";"0,64,49,51"
"PANTONE";"217 C";"#EABEDB";"234,190,219";"0,19,6,8"
"PANTONE";"218 C";"#E56DB1";"229,109,177";"0,52,23,10"
"PANTONE";"219 C";"#DA1984";"218,25,132";"0,89,39,15"
"PANTONE";"220 C";"#A50050";"165,0,80";"0,100,52,35"
"PANTONE";"221 C";"#910048";"145,0,72";"0,100,50,43"
"PANTONE";"222 C";"#6C1D45";"108,29,69";"0,73,36,58"
"PANTONE";"7639 C";"#936D73";"147,109,115";"0,26,22,42"
"PANTONE";"7640 C";"#934054";"147,64,84";"0,56,43,42"
"PANTONE";"7641 C";"#8E2C48";"142,44,72";"0,69,49,44"
"PANTONE";"7642 C";"#732E4A";"115,46,74";"0,60,36,55"
"PANTONE";"7643 C";"#672E45";"103,46,69";"0,55,33,60"
